,0,1,2,3,4,5,6,7,8,haiku,lang
836,petit concert de voitures,le matin,pour se mettre en route,,,,,,,"petit concert de voitures
le matin
pour se mettre en route",fr
837,Japanese New Year,how small the new moon,in its halo,,,,,,,"Japanese New Year
how small the new moon
in its halo",en
838,covered by snow,like the other stones,little Buddha,,,,,,,"covered by snow
like the other stones
little Buddha",en
839,rivulets,on a foggy window,the cancer's spread,,,,,,,"rivulets
on a foggy window
the cancer's spread",en
840,Journal du matin -,deux merles se signalent,les traces du chat.,,,,,,,"Journal du matin -
deux merles se signalent
les traces du chat.",fr
841,à table,elle émiette le pain –,l’œil du merle,,,,,,,"à table
elle émiette le pain –
l’œil du merle",fr
842,saying the rosary,a laborer,planting rice,,,,,,,"saying the rosary
a laborer
planting rice",en
843,rainy night---,her phone number,in my wallet,,,,,,,"rainy night---
her phone number
in my wallet",en
844,his shadow,passes me by---,the charcoal seller,,,,,,,"his shadow
passes me by---
the charcoal seller",en
845,the potter's fingers,wet with clay---,first rain,,,,,,,"the potter's fingers
wet with clay---
first rain",en
846,year's end --,a few tentative steps,on the river ice,,,,,,,"year's end --
a few tentative steps
on the river ice",en
847,garden wedding --,under the cherry blossoms,the bride's blush deepens,,,,,,,"garden wedding --
under the cherry blossoms
the bride's blush deepens",en
848,thaw--,a winter moth struggles,against a spider thread,,,,,,,"thaw--
a winter moth struggles
against a spider thread",en
849,winter moon--,the manhole cover's warmth,,,,,,,,"winter moon--
the manhole cover's warmth",en
850,11 de Marzo -,"en el carril de enfrente,",silla de ruedas,,,,,,,"11 de Marzo -
en el carril de enfrente,
silla de ruedas",es
851,evening rain—,buying cherry trees,online,,,,,,,"evening rain—
buying cherry trees
online",en
852,mid April,the grass finally,looks like grass,,,,,,,"mid April
the grass finally
looks like grass",en
853,noon sun--,someone playing scales,on a saxophone,,,,,,,"noon sun--
someone playing scales
on a saxophone",en
854,out of the fog—,a white barn with painted,butterflies,,,,,,,"out of the fog—
a white barn with painted
butterflies",en
855,paint peels off,the old white house—,March thaw,,,,,,,"paint peels off
the old white house—
March thaw",en
856,same path,even in deep snow—,the blind horse,,,,,,,"same path
even in deep snow—
the blind horse",en
857,shaving--,I share the mirror,with a spider,,,,,,,"shaving--
I share the mirror
with a spider",en
858,spring day,two hawks circle below,the contrails,,,,,,,"spring day
two hawks circle below
the contrails",en
859,spring flies,buzz above my head--,E flat,,,,,,,"spring flies
buzz above my head--
E flat",en
860,spring rain,cars slowly leave,the cemetery,,,,,,,"spring rain
cars slowly leave
the cemetery",en
861,starless sky—,dead batteries,in the flashlight,,,,,,,"starless sky—
dead batteries
in the flashlight",en
862,la sève,coule à flanc d'érable,gélivures,,,,,,,"la sève
coule à flanc d'érable
gélivures",fr
863,crèmes de beauté,le jour la nuit le jour,l'automne touche à sa fin,,,,,,,"crèmes de beauté
le jour la nuit le jour
l'automne touche à sa fin",fr
864,chutes de neige,le sachet de thé s'enfonce,lentement dans l'eau,,,,,,,"chutes de neige
le sachet de thé s'enfonce
lentement dans l'eau",fr
865,crépuscule d'hiver,l'ombre de l'épouvantail,dépasse le champ,,,,,,,"crépuscule d'hiver
l'ombre de l'épouvantail
dépasse le champ",fr
866,sous ma paume,ses seins plus gros,soleil d'hiver,,,,,,,"sous ma paume
ses seins plus gros
soleil d'hiver",fr
867,campfire coffee. . .,condor wings glean,the first rays of sun,,,,,,,"campfire coffee. . .
condor wings glean
the first rays of sun",en
868,blanche aurore...,le cerisier en fleurs,avant le soleil,,,,,,,"blanche aurore...
le cerisier en fleurs
avant le soleil",fr
869,Arbres de Judée en fleurs-,brumes et brouillard,sur la papauté,,,,,,,"Arbres de Judée en fleurs-
brumes et brouillard
sur la papauté",fr
870,Le vent fou,dans le petit linge de ma voisine...,enceinte de 3 mois,,,,,,,"Le vent fou
dans le petit linge de ma voisine...
enceinte de 3 mois",fr
871,Lundi de Pâques-,absent depuis plusieurs jours,le chat est de retour,,,,,,,"Lundi de Pâques-
absent depuis plusieurs jours
le chat est de retour",fr
872,Samedi soir-,un long moment à tailler,des crayons de couleur,,,,,,,"Samedi soir-
un long moment à tailler
des crayons de couleur",fr
873,arrêt en gare -,un vieux chien lève la patte,et repart,,,,,,,"arrêt en gare -
un vieux chien lève la patte
et repart",fr
874,La neige -,Le trafic ralentit,dans les bureaux,,,,,,,"La neige -
Le trafic ralentit
dans les bureaux",fr
875,Mandarines,disposées en pyramides,chez l'Egyptien,,,,,,,"Mandarines
disposées en pyramides
chez l'Egyptien",fr
876,Mardi-Gras,Cette année sur l'éphéméride,la lune masquée,,,,,,,"Mardi-Gras
Cette année sur l'éphéméride
la lune masquée",fr
877,mes doigts sur les touches du clavier - la pluie aux carreaux,,,,,,,,,mes doigts sur les touches du clavier - la pluie aux carreaux,fr
878,Des nuages paressent,sur la pyramide du Louvre,"en bas, la cohue",,,,,,,"Des nuages paressent
sur la pyramide du Louvre
en bas, la cohue",fr
879,"Flocons de neige ,","Dehors deux mésanges volètent ,",Colorisées.,,,,,,,"Flocons de neige ,
Dehors deux mésanges volètent ,
Colorisées.",fr
880,Mouche aplatie,Dans le silence qui suit,Le blueszzzzzzzzzzzt,,,,,,,"Mouche aplatie
Dans le silence qui suit
Le blueszzzzzzzzzzzt",fr
881,seed catalogues,in the mail daily--,morning snow fluries,,,,,,,"seed catalogues
in the mail daily--
morning snow fluries",en
882,drip.drip.drip.drip.drip.,the anticipation,of maple syrup,,,,,,,"drip.drip.drip.drip.drip.
the anticipation
of maple syrup",en
883,new March snow,the grouse with a missing toe,still around,,,,,,,"new March snow
the grouse with a missing toe
still around",en
884,quick mid-winter thaw,each icicle drips,at its own pace,,,,,,,"quick mid-winter thaw
each icicle drips
at its own pace",en
885,au cimetière militaire,entre les croix,des taupinières,,,,,,,"au cimetière militaire
entre les croix
des taupinières",fr
886,mêlées à ses cendres,les cendres du foulard,qu'elle trouvait joli,,,,,,,"mêlées à ses cendres
les cendres du foulard
qu'elle trouvait joli",fr
887,homeless shelter,an unkempt man peels,a dyed egg,,,,,,,"homeless shelter
an unkempt man peels
a dyed egg",no
888,"topless,",the skyscraper,in rain mist,,,,,,,"topless,
the skyscraper
in rain mist",en
889,Cerveteri: necropoli etrusca.,Cerveteri: Etruscan necropolis.,,,,,,,,"Cerveteri: necropoli etrusca.
Cerveteri: Etruscan necropolis.",it
890,stasera anche,la neve in gondola,sul Canal Grande,,,,,,,"stasera anche
la neve in gondola
sul Canal Grande",it
891,summer twilight,push mowers stop,for crickets,,,,,,,"summer twilight
push mowers stop
for crickets",en
892,soûl sur le perron,de la fausse maison,la clef en main,,,,,,,"soûl sur le perron
de la fausse maison
la clef en main",fr
893,fresh sawdust,among the birches --,his bent shoulders,,,,,,,"fresh sawdust
among the birches --
his bent shoulders",en
894,averse de neige -,les mannequins de la vitrine,en robes d'été,,,,,,,"averse de neige -
les mannequins de la vitrine
en robes d'été",fr
895,marée montante -,un autre pas recouvert,par une autre vague,,,,,,,"marée montante -
un autre pas recouvert
par une autre vague",fr
896,fragrant daphne <>,the money collector stops,before he knocks,,,,,,,"fragrant daphne <>
the money collector stops
before he knocks",en
897,hailstorm <>,under the groaning roof,I hold my breath,,,,,,,"hailstorm <>
under the groaning roof
I hold my breath",en
898,lune rousse,les jambes des filles,si blanches !,,,,,,,"lune rousse
les jambes des filles
si blanches !",fr
899,alone,in the tea house,rainy night,,,,,,,"alone
in the tea house
rainy night",en
900,blinding snow,man and dog tracks,run together,,,,,,,"blinding snow
man and dog tracks
run together",en
901,cold rain,a bunch of daffodils,against the brick wall,,,,,,,"cold rain
a bunch of daffodils
against the brick wall",en
902,night stillness,a new mail,in the inbox,,,,,,,"night stillness
a new mail
in the inbox",en
903,Valentine's Day,a red rose,stuck in the snow,,,,,,,"Valentine's Day
a red rose
stuck in the snow",en
904,courtyard of my childhood --,after so many dead people,the old lilac in bloom,,,,,,,"courtyard of my childhood --
after so many dead people
the old lilac in bloom",en
905,I completely forgot,"the magnolia-tree,",till its bloom,,,,,,,"I completely forgot
the magnolia-tree,
till its bloom",en
906,I light on again,the candle on her grave,extuinguished by wind,,,,,,,"I light on again
the candle on her grave
extuinguished by wind",en
907,under floating clouds,the cherry blossom snow --,in the same direction,,,,,,,"under floating clouds
the cherry blossom snow --
in the same direction",en
908,Valentine's Day --,awakened by a kiss,from the dog,,,,,,,"Valentine's Day --
awakened by a kiss
from the dog",en
909,drumming,heartbeat,in the mist,,,,,,,"drumming
heartbeat
in the mist",en
910,In the space-between,trees and mist,a white buffalo,,,,,,,"In the space-between
trees and mist
a white buffalo",en
911,a famished mallard,has emigrated,to the city zoo,,,,,,,"a famished mallard
has emigrated
to the city zoo",en
912,au coin de l'avenue,chaque matin vers 9 h 30,il ferme sa tente,,,,,,,"au coin de l'avenue
chaque matin vers 9 h 30
il ferme sa tente",fr
913,an ancient path,in a sky without time,departing geese,,,,,,,"an ancient path
in a sky without time
departing geese",en
914,her Sunday dress,the color of bruises,merging,,,,,,,"her Sunday dress
the color of bruises
merging",en
915,Saturday night,the sound of weeping,seeps from the wall,,,,,,,"Saturday night
the sound of weeping
seeps from the wall",en
916,warm rain on the pond,my thoughts rise,with the koi,,,,,,,"warm rain on the pond
my thoughts rise
with the koi",en
917,to the headstone,old footsteps frozen,in old snow,,,,,,,"to the headstone
old footsteps frozen
in old snow",en
918,pissing in a puddle,droplets of moonlight,on her sandal,,,,,,,"pissing in a puddle
droplets of moonlight
on her sandal",en
919,alphabet soup -,my best haiku ever,...... digested,,,,,,,"alphabet soup -
my best haiku ever
...... digested",da
920,mango flavoured tea,in a silver tin - departing guests,linger a while,,,,,,,"mango flavoured tea
in a silver tin - departing guests
linger a while",en
921,chambre surchauffée,un tapis couleur pissenlit,une coccinelle morte,,,,,,,"chambre surchauffée
un tapis couleur pissenlit
une coccinelle morte",fr
922,l'aube brumeuse,sous le poirier noir,des poules multicolores,,,,,,,"l'aube brumeuse
sous le poirier noir
des poules multicolores",fr
923,paysage d'hiver,petits poils au-dessus de sa lèvre,un magazine de mode,,,,,,,"paysage d'hiver
petits poils au-dessus de sa lèvre
un magazine de mode",fr
924,pleine lune de mars,tout ça de nouvelles tombes?,couvertes de fleurs,,,,,,,"pleine lune de mars
tout ça de nouvelles tombes?
couvertes de fleurs",fr
925,sur la vitre,le ventre d'une coccinelle,paysage printanier,,,,,,,"sur la vitre
le ventre d'une coccinelle
paysage printanier",fr
926,cold snap-,her pause before,each tulip,,,,,,,"cold snap-
her pause before
each tulip",en
927,Coltrane,two floors up...floats,out a window,,,,,,,"Coltrane
two floors up...floats
out a window",en
928,her hair,brushed with moonlight...,forty years ago,,,,,,,"her hair
brushed with moonlight...
forty years ago",en
929,Lever de soleil -,sa poitrine dans mon dos,quand elle m'embrasse.,,,,,,,"Lever de soleil -
sa poitrine dans mon dos
quand elle m'embrasse.",fr
930,Cerises en mars,L'été toute l'année,Au supermarché,,,,,,,"Cerises en mars
L'été toute l'année
Au supermarché",fr
931,Jour des Rameaux,"Pour le prunus, le forsythias",Pas de bénédiction,,,,,,,"Jour des Rameaux
Pour le prunus, le forsythias
Pas de bénédiction",fr
932,flat moon ...,an aspirine tablet and a,glass of water,,,,,,,"flat moon ...
an aspirine tablet and a
glass of water",en
933,I wake beside,my daughter's sick bed,a howling dog,,,,,,,"I wake beside
my daughter's sick bed
a howling dog",en
934,bitter cold--,we don't chase the lone crow,from the sparrow's food,,,,,,,"bitter cold--
we don't chase the lone crow
from the sparrow's food",en
935,that long-ago kiss--,and still Orion strides,the winter sky,,,,,,,"that long-ago kiss--
and still Orion strides
the winter sky",en
936,drunk tonight---,an elixir of cherry blossoms,and moonlight,,,,,,,"drunk tonight---
an elixir of cherry blossoms
and moonlight",en
937,eyeing,the apple,at buddha's feet,,,,,,,"eyeing
the apple
at buddha's feet",en
938,memories,floating in a tea cup---,autumn moon,,,,,,,"memories
floating in a tea cup---
autumn moon",ro
939,"the farmer,",planting corn under,a pregnant moon,,,,,,,"the farmer,
planting corn under
a pregnant moon",en
940,a fly beats,against the window --,melting snow,,,,,,,"a fly beats
against the window --
melting snow",en
