0,1,2,source,0_syllables,1_syllables,2_syllables
taking a bite,from a bitter orange,january thaw,tempslibres,4,6,5
day moon -,the distance between us,full of silence,tempslibres,2,"6,7",4
the new year---,a homeless man,has a new sign,tempslibres,3,4,4
an old woman asks,for directions to a bar---,Winter,tempslibres,5,7,2
Martin Luther King Day---,Obama is busy,at work,tempslibres,6,6,2
I turn off my cell---,crescent moon,over the skyline,tempslibres,5,3,5
as the train passes,graffiti murals---,sunset paints the sky red,tempslibres,5,5,6
as I pass her boyfriend's house---,a full moon,Winter's chill,tempslibres,7,3,3
autumn rain --,the warmth of one too many,glasses of wine,tempslibres,3,7,4
wolf moon --,the dog,wont come in,tempslibres,2,2,3
despite the day's heat,mum's tombstone,so cold,tempslibres,5,3,2
again this year,the wind-sown poppies,flower between stones,tempslibres,4,4,5
last of his line,the year of his death,still uncarved,tempslibres,4,5,3
hard frost -,deep in my coat pocket,summer sea-glass,tempslibres,2,6,3
that same music,again and again,winter rain,tempslibres,4,5,3
pastry shop --,so many candy smiles,around me,tempslibres,3,6,3
sleet ticking windows--,the chemo drip,in its last hour,tempslibres,5,4,"4,5"
mid February,the first garden seeds display,at the hardware store,tempslibres,5,7,5
early sign of spring,snow shovels become,half-priced sale items,tempslibres,"5,6",5,4
morning snow---,I tell my barber do something,about my gray hairs ,tempslibres,3,8,5
morning fog---,the subway is full,of steaming spirits,tempslibres,3,5,5
Superbowl Sunday---,no smell,of cooking,tempslibres,5,2,3
blizzard---,the bars are crowded,but the subway is empty,tempslibres,2,5,7
the cat starts,to have an attitude---,the year of the tiger,tempslibres,3,6,6
withered roses-- ,a bald woman waits ,for the taxi,tempslibres,4,5,4
caffeine buzz --,snow in the forecast,somewhere else,tempslibres,3,5,3
moonless night --,an ambulance speeds by,with its lights out,tempslibres,3,6,4
moonless night --,an empty can,of whipped cream,tempslibres,3,4,3
moonless night --,pulling the dog,from shadow to shadow,tempslibres,3,4,6
too wired to sleep,too tired to dream,winter wind,tempslibres,"4,5",5,3
crowded train --,her perfect lips,pierced,tempslibres,3,4,1
the winter sun ,in the cancer ward -,a quiet old couple,tempslibres,4,5,6
from one year,to another -,the same moon,tempslibres,3,4,3
icicles melting,another drunk pisses,in my alley,tempslibres,5,6,4
somewhere,behind the old barn,end of the rainbow,tempslibres,2,5,5
my grandfather's sword...,the impenetrable silence,of falling snow,tempslibres,5,8,4
dull afternoon...,even the fresh snow,is tinted grey,tempslibres,4,5,4
old plum tree in bossom ...,last year the old owner,died,tempslibres,6,6,1
March warms up---,the barmaid opens,another button on her skirt,tempslibres,3,5,8
going out of business  ,the naked mannequins ,Mardi Gras beads,tempslibres,6,6,4
a line of coal cars ,viewed from the railroad bridge ,returning chill,tempslibres,5,6,4
Awake ,Smell of rain ,two new haiga,tempslibres,2,3,4
first day of Spring---,two sweethearts kiss,under a leafless tree,tempslibres,"4,5",4,6
she closes her,bathroom curtains---,a setting full moon,tempslibres,4,4,5
Dark spring morning,busy conversation of birds,awakens interest,tempslibres,"4,5",8,"5,6"
Morning sunshine bright,chases all worry from cancer,operation success,tempslibres,5,8,6
Dancing in the yard,rows of tidy daffodils,oh so very yellow,tempslibres,5,7,6
a new month - ,different seeds ,on the spaniel's ears ,tempslibres,3,"3,4",5
winter rain ,the sheets where she slept ,grow colder,tempslibres,3,5,3
how black !,dirt on the last patch,of snow,tempslibres,2,5,2
rainy day -,I finally finished,the Spring Saijiki,tempslibres,3,6,"5,6"
computer crash ...,I wish I were,this butterfly,tempslibres,4,4,4
my daily bread,on the empty table ...,spring equinox,tempslibres,4,6,"4,5"
faded postcard,the Nagasaki temple,then,tempslibres,4,7,1
summer heat,kimono hung on the wall,billows from the fan,tempslibres,3,7,5
afternoon heat,tandem damselflies,bask on a reed,tempslibres,4,5,4
silver dawn,slug traces iridesce,on the garden path,tempslibres,3,6,5
sweltering stillness,the nurse flicks a bubble,from the syringe,tempslibres,5,6,4
relentless sun,my lips meet the cool arc,flowing from the hose,tempslibres,4,6,5
overgrown grapevine,unsigned divorce papers,heavy in my hand,tempslibres,5,6,5
midnight jazz,rain streaming down,the verdigris chain,tempslibres,3,4,5
the taste,of pine's bitter honey,these bitter tears,tempslibres,2,6,4
sepia souls smile,from a photo negative,reunion,tempslibres,5,7,3
this steady rain,the one thing I needed,you couldn't do:,tempslibres,4,6,4
end of summer,more cucumbers,than neighbors,tempslibres,4,4,3
damselflies,dart across the water,a bluer blue,tempslibres,3,6,4
August heat,the pregnancy test results,become clear,tempslibres,3,7,3
perseids,we help mother blow out,sixty-three candles,tempslibres,2,6,4
autumn grasses,at least the tea,remains green,tempslibres,4,4,3
morning tea,returning the cup,its emptiness,tempslibres,3,5,4
autumn mist,bull elk's mating call,splits the silence,tempslibres,3,5,4
first frost,instead of silk,flannel,tempslibres,2,4,2
autumn equinox,the fallen leaf,"half-green, half-gold",tempslibres,5,4,2
deep autumn,we read love poems once,in these woods,tempslibres,3,6,3
October moon,white pumpkins glow,in the field,tempslibres,4,4,3
autumn arrives early,for this mountain ridge,and me,tempslibres,6,5,2
cold rain,a maple leaf floats,in the water basin,tempslibres,2,5,6
all saints day,from the corner of my eye,someone no one,tempslibres,3,7,4
winter in the wind,no cake for this candle lit,in memoriam,tempslibres,5,7,5
winter night,the chill of moonlight,on my skin,tempslibres,3,5,3
rain turns to sleet,grounding my daughter,our shared tears,tempslibres,4,5,"3,4"
solstice,sipping a stronger brew,in the waning light,tempslibres,2,6,5
year-end bank statement,reusing the tea bag,for a second cup,tempslibres,4,6,5
biting the peel,a burst of orange mist,firelight,tempslibres,4,6,3
first snow,all the shades,of white,tempslibres,2,3,2
from my window,a maple's lichened trunk,the only green,tempslibres,4,6,4
starless night,my daughter delivered home,by a policeman,tempslibres,3,7,5
Valentine's Day,thin ice covers,the pond,tempslibres,4,4,2
Ash Wednesday,light rain,from the cloud-smudged sky,tempslibres,3,2,4
first crocus,the oncologist says,no hope,tempslibres,3,6,2
terminal cancer ,the contrails end ,midair,tempslibres,5,4,2
cloudless sky ,all the things ,I don't know ,tempslibres,3,3,3
this winding river ,confluence of what I know ,and what I don't,tempslibres,5,7,4
late winter snow,a distant train whistle,cuts through my silence,tempslibres,4,6,5
between fiery clouds,and shadowed earth,a string of egrets,tempslibres,6,4,5
daybreak - - ,light and shadow ,on the apricot blossoms,tempslibres,2,4,7
veil of spring rain,the anniversary,of my divorce,tempslibres,"4,5",6,4
Saturday night fog---,too many women,wear pants ,tempslibres,5,5,2
cocktail lounge---,the more we order,the more the waitress leans ,tempslibres,3,5,6
April sunset---,from the patio of,a foreclosed house for sale,tempslibres,4,6,6
spring thaw,water from the fridge drips,onto the floor,tempslibres,"2,3",6,4
spring thaw,everything drips,including my nose,tempslibres,"2,3",4,5
the silence,of the april rain,after the shower,tempslibres,3,5,5
homeless,pushing a cart along,Commerce Avenue,tempslibres,2,6,5
a cut glass bowl,holds the shells of our summers,this life in exile,tempslibres,4,"8,7",5
Madison Square Park,nice Spring day---,no stock brokers ,tempslibres,5,"3,4",4
dangerous intersection---,always fresh flowers,on one way sign pole,tempslibres,7,5,5
sunrise---,a yogi faces,the wrong direction,tempslibres,2,5,5
Gulf oil spill reaches,the wet lands---,bird songs black out,tempslibres,5,3,4
a steady drizzle-,all day the weight,of things unsaid,tempslibres,5,4,4
the wasp,trapped between panes of glass,first spring light,tempslibres,2,6,"3,4"
a hazy moon,floats in my cup,white sake,tempslibres,4,4,2
temperature rising,thunderstorms and traffic noise,through the north window,tempslibres,"5,6",7,5
The red breasted bird,outside the cancer clinic ,Spring nest building now,tempslibres,5,7,"5,6"
zazen,attempting to awaken,I fall asleep,tempslibres,2,7,4
a robin's beak,pierces its shell,earth day,tempslibres,4,5,2
twilight,portrait of a child,that will never age,tempslibres,2,5,5
untimely death,watching dust fall,through sun's rays,tempslibres,4,4,3
cold April rain --,I no longer remember,your name,tempslibres,4,7,2
cold April rain --,my daughter's birthday,on another continent,tempslibres,4,5,7
cold April rain --,the sediment,at the bottom,tempslibres,4,4,4
wisteria blossoms . . .,the faint memories,of grandmother's lace,tempslibres,6,5,5
between,the Prime Minister's words,birdsong,tempslibres,2,6,2
"hot, humid day",a jazz station plays,cool tunes,tempslibres,4,5,2
finally Friday --,the dog so attentive,around the grill,tempslibres,5,6,4
As if yesterday,your twenty-year-old body,wild strawberries,tempslibres,5,5,4
yellowed envelope,holding your golden curls,spring cleaning,tempslibres,5,6,"3,4"
raindrops,my sister's voice,from half a continent,tempslibres,2,4,6
dark bar---,old man younger woman,and a condom machine,tempslibres,2,6,6
June swings from warm to cold---,I recall my ex,mother in law,tempslibres,6,5,4
sunset---,an ice cream vendor forgets,to put a cherry on top,tempslibres,2,7,7
Memorial Day --,stars obscured,by distant smoke,tempslibres,5,3,4
red dragonfly --,my newest granddaughter's,tiny fingers,tempslibres,4,6,4
June cold snap,the next-door neighbor's,house for sale,tempslibres,3,4,3
after the rain,a light on in the basement,of an empty house,tempslibres,4,7,5
lingering dusk,the silence between us,says it all,tempslibres,"3,4","6,7",3
lover's quarrel,the tea kettle,silenced,tempslibres,4,4,2
summer day,clover bending,with the bee's weight,tempslibres,3,4,4
ceiling fan,the whirl,of my thoughts,tempslibres,3,2,3
sego lilies,the trail dissolves,into wildflowers,tempslibres,4,4,4
there's a pelican,"-- in that ball of feathers, tar",or it is a gull?,tempslibres,5,7,5
morning fog---,Citibank building loses,the other half of its top,tempslibres,3,7,7
Summer hot day---,the sound of some one,playing the flute,tempslibres,4,5,4
first firefly -,the moon also shows,his face,tempslibres,4,5,2
After the Solstice,already feeling the touch,of Winter,tempslibres,5,7,3
cloudy day--,my thoughts stuck,on a spider web,tempslibres,3,3,5
obsidian night,the white sound,of rain,tempslibres,5,3,2
shrilling cicadas,two women smile,at something else,tempslibres,5,4,4
morning haze --,one light rinse of the coffee cup,is good enough,tempslibres,3,8,4
mosquito,and I,blood brothers,tempslibres,3,2,3
cloud watching,the reunion,of Pangaea,tempslibres,3,4,4
eclipse,the taste of goodbye,in your kiss,tempslibres,2,5,3
this old fight,knowing both our parts,thunder moon,tempslibres,3,"5,6",3
no more dirty jokes---,the new barber is,a woman,tempslibres,5,5,3
July early morning---,a jogger carries,two bottles of water,tempslibres,6,5,6
tea leaves carefully,"saved, dried, and used again",hidden poverty,tempslibres,5,6,5
the future,deep in the tea leaves ...,spring growth,tempslibres,3,5,"2,3"
stifling heat --,our new neighbors',argument,tempslibres,"3,4","4,5",3
heat wave --,the dog moves slowly,from shadow to shadow,tempslibres,2,5,6
restless night --,a tree frog,in and out of tune,tempslibres,3,3,5
rose petals,fallen on bare earth,evening rain,tempslibres,3,5,3
July sunset---,after a hot day,the watermelon tastes cool,tempslibres,4,5,7
sunrise---,my neighbor in her underwear,July's last day,tempslibres,2,8,4
75 today,I walk through a puddle,because I can,tempslibres,6,6,4
her Alzheimer's,a dragonfly,goes . . . comes,tempslibres,4,4,2
wildflower bouquet,left on a country highway,the endless road,tempslibres,5,7,4
back to my hometown,blooming with a sweet scent,mom's oriental lilies,tempslibres,5,6,7
visit to the old villa,the scent of,lost money,tempslibres,7,3,3
sudden chill --,an empty bird feeder,outside the nursing home,tempslibres,3,6,6
waning moon --,a hand-printed sign reads:,"""lost dog""",tempslibres,3,4,2
cricket song,my longing too,unanswered,tempslibres,3,4,3
moon phase,the welfare check,comes on the fifth,tempslibres,2,4,4
tailgating trucker,is that load bound for K-Mart,worth more than my life?,tempslibres,5,6,5
cloudless night,she looks into the mirror,counting new wrinkles,tempslibres,3,7,5
Cloudy sky,the sun a bright red,first cup of coffee,tempslibres,3,5,5
(Rain filled morning,i hold my face upward,tears like rain,tempslibres,3,6,3
Cool and cloudy day,slowly the season changes,mirrored in your eyes,tempslibres,5,7,5
bag of beer,snail trails leave it,from all directions,tempslibres,3,4,5
charred goat bones,they say -- without conviction ,Somali nightmares,tempslibres,3,7,5
too hot for miso!,he pushes it aside,that August morning,tempslibres,5,6,5
August blue sky---,the smell of sunscreen,in the subway,tempslibres,4,5,4
morning haze---,a beach beauty goes,topless,tempslibres,3,5,2
Hiroshima Day---,a Japanese ballerina,dances on pointe,tempslibres,5,8,4
Summer park---,every one is busy,viewing their phone screens,tempslibres,3,"6,7",5
August 6--,my father does not say,good morning,tempslibres,3,6,3
fall migration,custom combiners harvest,their way north,tempslibres,4,7,3
fighting,the summer heat -,no time for poetry,tempslibres,2,4,6
sunflower,the day passing,slowly,tempslibres,3,4,2
August moon,countless raindrops to measure,the length of the day,tempslibres,3,7,5
dawn by the river-,we breach a wall of sand,the cry of a loon,tempslibres,5,6,5
crow browsing grass,steps on camellia blossom-,fractured silence,tempslibres,4,7,4
Hazy skies,the cedars less dark,this Summer day,tempslibres,3,5,4
Crickets in the garden,time passing me by,Mother's ageing hands,tempslibres,6,5,5
My son's birthday,not sharing the cake,chasing the seagull away ,tempslibres,4,5,7
late August garbage bags---,a jasmine tree,near by,tempslibres,6,4,2
mackerel sky,first gold leaves spangle,the maple,tempslibres,4,5,3
autumn equinox --,my baseball glove,right where I left it,tempslibres,5,4,5
maple twig,turns lemon hue in the rain-,i reply to summer mail,tempslibres,3,7,7
teenagers,exchanging promises,summer's end,tempslibres,3,6,3
Summer barber shop---,sudden silence,as a blonde bombshell comes in,tempslibres,5,4,7
Summer sunset---,she ties her bikini top,before she gets up,tempslibres,4,7,5
flea market shopping---,you may have to pay in blood,the bedbugs scare,tempslibres,5,7,4
sunset---,as the train starts,to enter the tunnel,tempslibres,2,4,6
East River night,cool September wind---,lovers stay in their cars,tempslibres,4,5,6
perseid shower,the intake of her breath...,another contraction,tempslibres,4,6,6
folding beach mats,the whiff of fresh grilled corn,this chilly morning,tempslibres,4,6,5
menopause -,she even quarrels with,the autumn moon,tempslibres,3,6,4
neither white nor black,a yellow smog that won't lift,Alzheimer's pall,tempslibres,5,7,4
Full Corn Moon,time to gather the harvest,before leaves fall,tempslibres,3,7,4
"glassy-eyed, gutted",catch of the day on shaved ice,at the fish market,tempslibres,4,7,5
